city,state
Albuquerque,New Mexico
Arlington,Texas
Atlanta,Georgia
Austin,Texas
Baltimore,Maryland
Boston,Massachusetts
Charlotte,North Carolina
Chicago,Illinois
Cleveland,Ohio
Colorado Springs,Colorado
Columbus,Ohio
Dallas,Texas
Denver,Colorado
Detroit,Michigan
El Paso,Texas
Fort Worth,Texas
Fresno,California
Houston,Texas
Jacksonville,Florida
Kansas City,Missouri
Las Vegas,Nevada
Long Beach,California
Los Angeles,California
Memphis,Tennessee
Mesa,Arizona
Miami,Florida
Milwaukee,Wisconsin
Minneapolis,Minnesota
New York,New York
Oakland,California
Oklahoma City,Oklahoma
Omaha,Nebraska
Philadelphia,Pennsylvania
Phoenix,Arizona
Portland,Oregon
Raleigh,North Carolina
Sacramento,California
San Antonio,Texas
San Diego,California
San Francisco,California
San Jose,California
Seattle,Washington
Tucson,Arizona
Tulsa,Oklahoma
Virginia Beach,Virginia
Washington,District of Columbia
Wichita,Kansas
Indianapolis,Indiana
Louisville,Kentucky
Nashville-Davidson,Tennessee
