neighborhoods,"Walmart Supercenter, 8500 Washington Blvd, Pico Rivera","Walmart, 8333 Van Nuys Blvd, Panorama City","Walmart Supercenter, 7250 Carson Blvd, Long Beach","Walmart Supercenter, 19821 Rinaldi St, Porter Ranch","Target, 8840 Corbin Ave, Northridge","Kohl's, 8800 Corbin Ave, Northridge","Target, 11051 Victory Blvd, North Hollywood","Kohl's, 1201 S Fremont Ave, Alhambra","Target, 5500 W Sunset Blvd, Los Angeles","JCPenney, 20700 Avalon Blvd, Carson","Target, 20700 Avalon Blvd Suite 700, Carson","Target, 3535 S La Cienega Blvd, Los Angeles","Target, 1601 Kingsdale Ave, Redondo Beach","Target, 3471 W Century Blvd, Inglewood","Kohl's, 25375 Crenshaw Blvd, Torrance","Kohl's, 504 Huntington Dr, Monrovia","Walmart, 19503 S Normandie Ave, Torrance","Target, 6635 Fallbrook Ave, West Hills","Walmart Supercenter, 3705 E South St, Long Beach","Walmart Supercenter, 2770 E Carson St, Lakewood","Kohl's, 1799 Hawthorne Blvd, Redondo Beach","Walmart Neighborhood Market, 14441 S Inglewood Ave, Hawthorne","Marshalls, 14401 S Inglewood Ave, Hawthorne","Marshalls, 3420 W Century Blvd, Inglewood","Walmart, 2100 N Long Beach Blvd, Compton","JCPenney, 6420 Pacific Blvd, Huntington Park","Walmart Supercenter, 4651 Firestone Blvd, South Gate","Kohl's, 300 Stonewood St, Downey","JCPenney, 332 Stonewood St, Downey","Walmart Supercenter, 14501 Lakewood Blvd, Paramount","Target, 1800 Empire Ave, Burbank","Walmart Supercenter, 1301 N Victory Pl, Burbank","Walmart Supercenter, 26471 Carl Boyer Dr, Santa Clarita","Kohl's, 24200 Valencia Blvd, Valencia","JCPenney, 9301 Tampa Ave, Northridge","Walmart Supercenter, 9001 Apollo Way, Downey","Target, 3433 Sepulveda Blvd, Torrance","Kohl's, 872 New Los Angeles Ave, Moorpark"
Highland Park,37,29,40,35,41,42,25,13,22,30,29,23,35,31,39,18,29,39,40,43,33,31,31,31,34,25,29,38,36,35,19,19,42,41,40,37,39,52
Playa Vista,40,31,39,35,40,38,38,42,45,29,22,16,20,20,29,51,22,37,36,31,18,18,18,19,28,41,38,38,35,32,42,41,44,53,39,32,29,65
University Hills,23,37,30,42,46,47,31,11,22,30,28,26,35,35,40,35,29,48,26,29,34,34,34,34,23,24,18,27,26,24,26,25,52,46,57,24,39,56
North Hills,59,10,55,12,12,13,21,41,23,49,47,28,44,36,53,37,43,29,48,55,42,41,41,36,51,46,54,49,63,60,18,18,28,21,12,61,50,29
Mar Vista,40,27,39,31,41,35,34,32,33,30,27,18,25,23,32,48,23,34,35,34,21,21,21,22,32,45,41,41,39,36,39,38,52,39,44,36,28,48
Valley Glen,52,13,49,17,24,31,8,32,13,45,42,40,50,55,52,28,42,32,49,50,48,46,46,55,41,37,36,46,45,41,15,17,32,24,23,47,51,40
Pacoima,54,17,55,15,21,22,21,36,22,49,49,35,43,43,52,32,41,32,51,54,49,47,48,52,56,45,51,54,56,49,17,18,23,22,21,58,48,32
Mid City,34,39,36,45,48,38,32,23,19,26,26,13,32,29,36,47,25,57,33,35,29,30,33,28,26,25,31,39,33,30,38,40,53,48,50,39,36,61
Sun Valley,49,13,52,16,22,23,12,38,19,43,43,48,44,44,53,29,42,33,45,51,42,40,39,43,42,38,37,54,52,42,10,10,24,22,21,42,58,32
Mission Hills,53,11,52,9,15,16,17,38,19,39,39,29,45,37,54,34,43,26,49,48,43,41,41,36,56,43,41,59,57,47,14,15,20,17,14,59,50,26
Venice,44,36,43,40,62,61,52,50,51,36,32,26,31,28,41,56,30,55,39,52,30,26,26,27,35,39,45,45,43,40,45,47,50,48,63,40,37,69
Glendale,43,25,49,28,34,35,19,24,17,36,39,30,44,42,46,24,35,34,38,49,39,37,37,37,35,31,35,38,37,40,14,14,36,35,33,43,48,45
Winnetka,65,25,59,15,9,9,37,56,30,56,54,35,51,44,61,52,50,15,55,62,50,48,48,52,58,55,53,64,63,63,32,33,40,42,11,63,57,33
Reseda,67,19,67,18,11,10,29,51,27,54,52,34,50,42,59,47,48,18,53,53,48,46,46,41,46,52,51,61,60,58,28,28,41,31,12,61,55,36
Mount Washington,35,33,42,37,44,45,28,19,22,32,32,26,37,34,42,26,31,42,40,41,35,35,35,33,32,27,27,36,35,33,22,22,45,44,43,35,41,54
Encino,67,20,63,28,21,20,26,43,23,50,47,29,45,37,54,39,43,19,49,48,43,41,42,46,52,48,47,57,56,54,30,30,33,31,22,57,51,36
Tarzana,70,23,66,26,19,18,29,50,26,53,50,31,48,40,57,42,46,18,52,51,46,44,44,39,44,51,50,60,59,57,33,33,36,52,21,60,53,35
Westwood,47,23,56,27,35,30,30,36,39,43,41,27,38,26,48,46,37,32,37,49,37,35,35,36,45,37,35,54,38,50,34,33,36,34,36,50,44,47
Canoga Park,71,27,62,17,11,11,32,53,35,48,48,37,54,46,55,49,52,8,58,57,52,50,50,51,61,66,66,74,75,73,30,30,38,33,13,75,59,28
Southeast Los Angeles,27,30,29,33,40,40,25,17,11,24,24,18,29,26,34,38,23,40,25,28,27,26,25,25,22,19,25,26,25,23,20,19,49,40,39,23,33,59
